x,y
-2.0,12.00
-1.9,11.41
-1.8,10.84
-1.7,10.29
-1.6,9.76
-1.5,9.25
-1.4,8.76
-1.3,8.29
-1.2,7.84
-1.1,7.41
-1.0,7.00
-0.9,6.61
-0.8,6.24
-0.7,5.89
-0.6,5.56
-0.5,5.25
-0.4,4.96
-0.3,4.69
-0.2,4.44
-0.1,4.21
0.0,4.00
0.1,3.81
0.2,3.64
0.3,3.49
0.4,3.36
0.5,3.25
0.6,3.16
0.7,3.09
0.8,3.04
0.9,3.01
1.0,3.00
1.1,3.01
1.2,3.04
1.3,3.09
1.4,3.16
1.5,3.25
1.6,3.36
1.7,3.49
1.8,3.64
1.9,3.81
2.0,4.00
2.1,4.21
2.2,4.44
2.3,4.69
2.4,4.96
2.5,5.25
2.6,5.56
2.7,5.89
2.8,6.24
2.9,6.61
3.0,7.00
3.1,7.41
3.2,7.84
3.3,8.29
3.4,8.76
3.5,9.25
3.6,9.76
3.7,10.29
3.8,10.84
3.9,11.41
1.0,3.0
